,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_init_mean,param_init_std_dev,param_lr_bu,param_lr_bi,param_lr_pu,param_lr_qi,param_reg_bu,param_reg_bi,param_reg_pu,param_reg_qi
667,1.0356662411160966,1.0409283188780967,1.0347475065096736,1.0371140221679556,0.0027230696972356206,269,0.26567920049031574,0.0028763664426474864,0.14922626813252768,0.052683753650180076,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1, 'reg_bi': 1e-06, 'reg_pu': 1, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1.0,1e-06,1.0,1.0
668,1.038763457620302,1.0432393567103115,1.0398167475876896,1.0406065206394344,0.001910710909746036,330,0.2693246205647786,0.0009181369226784774,0.1468327840169271,0.049635355223896886,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1, 'reg_bi': 1, 'reg_pu': 1e-06, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1.0,1.0,1e-06,1e-06
669,1.0357524946373342,1.0409635433067093,1.0348590695943463,1.0371917025127966,0.0026919186847336736,270,0.2689494291941325,0.006983470963886004,0.1838384469350179,0.0515287667305593,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1, 'reg_bi': 1, 'reg_pu': 1e-06, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1.0,1.0,1e-06,1.0
670,1.0384733828829062,1.0431701368833106,1.039453439277455,1.0403656530145573,0.002023029899547898,318,0.2710687319437663,0.005159561233937174,0.14560937881469727,0.04893181811951506,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1, 'reg_bi': 1, 'reg_pu': 1, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1.0,1.0,1.0,1e-06
671,1.0356639298470651,1.0408796517235233,1.0347865701278802,1.0371100505661561,0.002689468309713445,267,0.2666492462158203,0.004979087499003078,0.15265528361002603,0.049750868957087774,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1, 'reg_bi': 1, 'reg_pu': 1, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1.0,1.0,1.0,1.0
672,1.1484064959207922,1.145592403681768,1.1417855398670949,1.1452614798232184,0.002713103722844134,1109,0.2663745880126953,0.0013427568852558594,0.1479930877685547,0.052325818249653995,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 0.1, 'lr_qi': 1e-06, 'reg_bu': 1e-06, 'reg_bi': 1e-06, 'reg_pu': 1e-06, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,0.1,1e-06,1e-06,1e-06,1e-06,1e-06
673,1.1481695281089543,1.145801671358204,1.142313595855052,1.1454282651074035,0.0024052109833547957,1112,0.27840423583984375,0.007067253269172065,0.1473539670308431,0.04926386125276214,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 0.1, 'lr_qi': 1e-06, 'reg_bu': 1e-06, 'reg_bi': 1e-06, 'reg_pu': 1e-06, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,0.1,1e-06,1e-06,1e-06,1e-06,1.0
674,1.1359977612193053,1.1338203791701427,1.1299411843272664,1.1332531082389048,0.0025049122598560093,1029,0.2831786473592122,0.007929289404057266,0.18217039108276367,0.04926893652679628,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 0.1, 'lr_qi': 1e-06, 'reg_bu': 1e-06, 'reg_bi': 1e-06, 'reg_pu': 1, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,0.1,1e-06,1e-06,1e-06,1.0,1e-06
675,1.1357869175522306,1.1336488451902047,1.129732345970649,1.1330560362376947,0.0025070601774130996,1026,0.27098743120829266,0.004971747694318472,0.15172886848449707,0.046157438980326745,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 0.1, 'lr_qi': 1e-06, 'reg_bu': 1e-06, 'reg_bi': 1e-06, 'reg_pu': 1, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,0.1,1e-06,1e-06,1e-06,1.0,1.0
676,1.148107468822558,1.1457072200015896,1.1417406082079555,1.145185099010701,0.002625349026737737,1104,0.26834742228190106,0.0020835939155236212,0.1469874382019043,0.04814922017228384,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 0.1, 'lr_qi': 1e-06, 'reg_bu': 1e-06, 'reg_bi': 1, 'reg_pu': 1e-06, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,0.1,1e-06,1e-06,1.0,1e-06,1e-06
